ID,Year,Averate,TotalrateNO
3609,1987,3.8,156
3610,1992,3.8,75148
3611,2000,3.2,26407
3612,1988,3.9,13352
3613,1995,3.3,1075
3614,1988,3.1,235
3615,1946,3.9,3117
3616,2003,3.3,506
3617,1992,3.1,23174
3618,1998,2.8,103
3619,1998,3.0,277
3620,1995,3.0,118
3621,2003,3.3,130
3622,1993,3.4,1667
3623,2002,3.5,4785
3624,2003,3.9,139428
3625,1983,3.4,1515
3626,2002,3.5,29943
3627,2003,2.7,115
3628,2002,2.8,292
3629,1997,2.9,214
3630,1995,2.9,213
3631,1993,2.7,478
3632,1996,1.9,132
3633,2003,3.8,673
3634,1988,2.8,1032
3635,1994,3.1,187
3636,2005,3.8,128
3637,1996,2.7,112
3638,2003,3.5,83680
3639,1944,2.8,248
3640,2003,2.9,3952
3641,2004,2.3,307
3642,2001,2.7,2137
3643,2002,4.0,291
3644,1979,2.0,86
3645,1986,2.8,222
3646,2004,3.0,702
3647,1987,2.9,103
3648,1988,3.6,39858
3649,1965,3.6,5118
3650,1983,3.8,36741
3651,1972,2.9,460
3652,2002,3.2,596
3653,1989,3.2,143
3654,1985,3.3,717
3655,2002,2.0,426
3656,2005,3.2,42
3657,1999,2.5,2287
3658,1988,2.4,163
3659,1968,3.5,975
3660,1977,3.1,135
3661,2002,3.1,99
3662,1994,4.1,2151
3663,2002,3.2,115
3664,1981,2.7,296
3665,1999,2.2,297
3666,2003,3.6,920
3667,1986,1.8,1192
3668,2000,4.2,4845
3669,2003,2.9,127
3670,1992,3.1,19799
3671,2004,3.3,319
3672,1985,3.5,3004
3673,1998,3.4,506
3674,1998,3.5,574
3675,2002,3.0,839
3676,1995,3.6,186
3677,2000,3.7,488
3678,2000,2.8,752
3679,2002,3.9,893
3680,1995,3.5,17452
3681,1997,3.1,310
3682,1998,3.2,397
3683,2001,2.3,142
3684,1964,3.8,42540
3685,2000,3.8,2203
3686,2001,3.2,2176
3687,2005,3.8,721
3688,2001,2.4,288
3689,2005,3.5,19867
3690,2003,3.4,1303
3691,1987,2.7,328
3692,1926,2.9,107
3693,1965,3.2,47
3694,1980,2.9,157
3695,1996,2.3,128
3696,1998,3.1,2079
3697,2002,1.7,114
3698,1970,2.4,138
3699,1977,3.2,674
3700,2002,3.8,849
3701,1944,3.5,4155
3702,2004,3.8,377
3703,2003,3.2,4814
3704,2000,3.2,353
3705,2000,3.3,285
3706,2003,3.4,251
3707,1993,3.2,192
3708,1988,3.4,881
3709,1998,2.8,344
3710,1987,3.4,3430
3711,1975,3.0,122
3712,2000,3.3,367
3713,2004,3.6,49969
3714,2005,2.9,2974
3715,1985,3.4,20208
3716,1988,3.5,3461
3717,1944,3.7,443
3718,2000,2.8,542
3719,1941,3.7,954
3720,1988,3.3,445
3721,1996,2.8,613
3722,1999,3.0,211
3723,1998,3.0,214
3724,2002,3.4,674
3725,1988,3.5,10470
3726,1999,3.2,153
3727,1987,3.1,212
3728,1993,3.5,20835
3729,2000,3.1,245
3730,1998,4.0,40191
3731,1999,2.7,88
3732,2004,2.4,156
3733,1963,3.8,2624
3734,1999,3.2,1705
3735,2004,2.8,754
3736,1968,3.5,8582
3737,2003,2.5,992
3738,1998,2.3,104
3739,1991,3.8,677
3740,1931,3.6,6918
3741,2000,3.6,429
3742,1946,4.0,16723
3743,2000,3.2,4317
3744,2000,3.1,184
3745,2001,2.2,716
3746,2003,3.6,1497
3747,1995,3.7,1088
3748,2004,3.3,121
3749,2002,2.8,1078
3750,2004,3.3,393
3751,2001,3.7,786
3752,1969,3.3,235
3753,2003,1.9,134
3754,2001,2.6,139
3755,1994,3.1,240
3756,2002,3.1,93241
3757,1945,3.8,815
3758,2000,2.9,6695
3759,2004,2.7,1334
3760,1997,3.6,492
3761,1999,2.2,195
3762,1995,3.5,119
3763,1992,2.9,2021
3764,1989,2.5,79
3765,1980,3.3,3389
3766,1988,2.8,2266
3767,1999,3.1,308
3768,1997,2.9,2717
3769,2004,4.1,3332
3770,2005,3.4,162
3771,1974,3.6,132
3772,1999,2.3,771
3773,1942,3.6,2093
3774,2000,2.7,307
3775,1978,2.7,1987
3776,2002,3.3,180
3777,1990,3.9,4231
3778,2003,3.2,1522
3779,1970,3.5,469
3780,1999,3.4,174
3781,1981,3.1,736
3782,1990,3.4,51622
3783,1988,3.1,782
3784,1996,4.0,1515
3785,1981,3.2,141
3786,2000,2.6,115
3787,2002,3.3,12424
3788,2000,2.5,140
3789,1997,3.8,651
3790,1921,3.2,57
3791,1972,3.0,490
3792,2002,2.1,389
3793,2001,2.1,144
3794,2000,4.0,1260
3795,1976,3.4,174
3796,1992,3.6,6442
3797,1962,3.7,447
3798,1973,4.2,38514
3799,1988,3.3,159
3800,2004,3.2,182
3801,1975,3.7,7618
3802,1984,3.4,355
3803,1993,3.4,467
3804,1983,3.4,1027
3805,2002,2.8,128
3806,1991,2.4,128
3807,2001,3.5,2833
3808,1997,2.7,1347
3809,1986,2.9,1787
3810,2004,3.0,3429
3811,1987,2.8,528
3812,1993,3.6,2090
3813,2002,3.1,402
3814,1991,3.2,10894
3815,2000,3.5,889
3816,1986,3.2,4585
3817,1994,3.9,28557
3818,2001,2.7,199
3819,1966,3.4,346
3820,2002,2.7,682
3821,2001,2.8,390
3822,2004,3.3,204
3823,1921,3.0,293
3824,1998,3.5,31413
3825,2002,3.5,104632
3826,1999,3.6,10297
3827,2004,3.9,354
3828,2004,3.2,1931
3829,2002,2.8,270
3830,1998,3.1,2846
3831,1959,2.9,113
3832,1993,2.8,144
3833,1939,3.7,2540
3834,2004,2.1,227
3835,1992,3.1,9691
3836,2001,2.8,201
3837,2001,3.7,469
3838,2000,3.8,666
3839,2003,2.5,222
3840,1982,3.3,17959
3841,1996,3.5,2148
3842,1976,3.5,592
3843,1993,2.7,118
3844,2003,1.6,95
3845,2005,1.6,123
3846,2004,2.9,123
3847,1997,3.4,1343
3848,1934,2.6,120
3849,1987,1.7,542
3850,2000,1.8,116
3851,1992,4.0,681
3852,1995,3.7,678
3853,1988,2.9,60
3854,1955,3.9,1953
3855,1920,3.1,205
3856,2002,3.6,247
3857,1972,2.4,306
3858,2001,2.9,7333
3859,1991,2.7,1065
3860,2003,3.4,160454
3861,2001,3.0,126
3862,1987,2.8,7532
3863,2000,3.2,2255
3864,2005,4.2,54922
3865,1991,2.4,1288
3866,1985,3.5,122
3867,2001,2.1,208
3868,1934,3.7,505
3869,1991,3.5,109
3870,1998,3.2,8850
3871,1970,3.5,281
3872,1996,4.0,1364
3873,2003,2.9,226
3874,2002,2.7,248
3875,2004,4.0,32097
3876,2004,3.1,478
3877,1996,2.8,146
3878,2001,2.9,117
3879,1995,4.0,13749
3880,1966,3.6,4420
3881,2004,2.9,1260
3882,1999,3.2,1214
3883,1997,3.8,251
3884,1954,2.4,125
3885,1932,3.2,384
3886,1997,3.6,6072
3887,1972,3.6,3881
3888,1994,3.8,1846
3889,2005,2.7,1635
3890,2004,2.9,20807
3891,2002,2.5,177
3892,1984,2.8,118
3893,1996,3.5,26961
3894,2004,3.0,20251
3895,1956,3.5,256
3896,1984,3.7,1228
3897,2003,1.9,98
3898,1958,3.3,179
3899,1996,3.7,563
3900,2000,3.9,20281
3901,1997,3.0,114
3902,1957,3.5,142
3903,1994,3.7,11853
3904,1998,3.0,246
3905,2001,3.6,62457
3906,1925,3.4,766
3907,1998,3.4,2838
3908,1928,2.9,115
3909,1993,3.4,532
3910,2003,3.5,241
3911,1982,2.9,1386
3912,1996,3.3,675
3913,1968,3.7,429
3914,1979,3.9,838
3915,1984,3.7,766
3916,2003,2.6,210
3917,2004,3.7,97939
3918,1966,3.0,146
3919,2004,2.6,472
3920,1998,3.0,16293
3921,2003,3.5,6642
3922,1979,2.8,162
3923,1997,3.1,9103
3924,1970,4.0,212
3925,2003,3.5,106807
3926,2003,2.5,13359
3927,2002,4.0,2124
3928,2004,4.3,7074
3929,1962,3.1,101
3930,2000,2.5,119
3931,1990,3.1,143
3932,1996,3.5,1445
3933,2001,3.2,248
3934,2002,3.4,2189
3935,1968,3.6,8091
3936,1999,3.1,40767
3937,1974,2.6,248
3938,2004,4.1,153996
3939,2001,3.8,203
3940,1981,3.3,143
3941,1975,3.2,172
3942,1988,2.9,14763
3943,1998,3.3,1011
3944,2000,2.9,1455
3945,1995,3.0,241
3946,2001,2.6,4288
3947,2003,3.0,226
3948,2000,3.3,333
3949,1991,3.8,2373
3950,2004,3.8,589
3951,1997,2.9,693
3952,2004,3.6,119
3953,1973,3.8,77
3954,1952,3.9,15403
3955,1959,3.7,3126
3956,1997,3.0,105
3957,1994,2.8,365
3958,2003,4.3,5310
3959,1997,3.4,444
3960,1960,3.6,11005
3961,2001,3.7,876
3962,2003,4.4,140979
3963,1955,3.0,118
3964,1996,2.6,82
3965,1992,4.3,1734
3966,2004,3.7,42223
3967,1970,3.1,405
3968,2001,3.4,542
3969,1982,3.1,82
3970,1981,3.3,2341
3971,2003,3.2,516
3972,1984,3.5,15028
3973,1983,3.3,132
3974,1953,3.9,653
3975,1991,3.3,3093
3976,2000,3.3,1645
3977,2003,3.1,285
3978,2003,2.9,1125
3979,1999,3.1,420
3980,2004,2.9,88
3981,2003,2.7,409
3982,2000,2.7,172
3983,2003,3.1,214
3984,1959,3.7,2931
3985,2002,3.1,118
3986,2001,3.6,2195
3987,1939,3.8,595
3988,1998,3.3,2741
3989,2004,3.3,111
3990,1991,3.1,3082
3991,2005,2.5,128
3992,1999,2.7,163
3993,1961,3.4,1518
3994,2004,2.5,437
3995,1995,3.1,960
3996,1999,2.4,196
3997,1983,2.8,159
3998,1988,4.0,1790
3999,2001,3.9,9427
4000,2002,2.3,140
4001,1939,3.6,508
4002,2004,3.3,200
4003,1999,2.3,118
4004,1930,3.8,372
4005,1993,3.7,1381
4006,2003,2.9,156
4007,1989,2.9,4110
4008,2002,3.8,820
4009,1999,3.0,218
4010,1963,3.6,1543
4011,1982,3.9,2965
4012,1999,3.0,9827
4013,1993,3.7,646
4014,2001,3.1,538
4015,2001,2.8,536
4016,1997,1.8,82
4017,1994,3.4,400
4018,1965,2.9,172
4019,1996,3.0,588
4020,1999,2.6,107
4021,2000,2.2,198
4022,1995,3.1,135
4023,2003,2.1,140
4024,1995,2.9,141
4025,1968,3.1,162
4026,1993,3.0,934
4027,1988,3.4,2708
4028,2004,3.8,279
4029,1952,3.7,892
4030,1961,3.5,479
4031,1995,3.2,7633
4032,1992,2.8,116
4033,2005,4.2,4372
4034,1997,2.7,93
4035,2004,2.7,52
4036,1997,3.2,508
4037,2003,3.9,248
4038,1982,3.7,327
4039,1974,1.9,393
4040,1993,3.9,3607
4041,2004,4.3,602
4042,1978,3.0,1856
4043,2002,3.5,90591
4044,1998,2.9,236
4045,2003,4.2,1301
4046,1988,4.0,165
4047,2000,2.7,439
4048,2003,4.2,751
4049,1988,3.9,5518
4050,1997,3.4,872
4051,1971,3.4,767
4052,2001,2.6,1341
4053,2004,3.1,90
4054,1990,4.0,2563
4055,1984,2.9,4216
4056,2001,3.0,52025
4057,2000,3.1,361
4058,1952,2.9,127
4059,1976,2.5,141
4060,1990,3.7,5403
4061,1964,3.3,347
4062,1997,3.3,305
4063,2005,4.0,280
4064,1998,3.2,4378
4065,1998,2.8,136
4066,1974,2.9,359
4067,1976,3.6,4453
4068,2004,2.9,1014
4069,1983,3.6,5414
4070,1981,3.2,265
4071,1973,3.6,233
4072,1979,3.4,3655
4073,1966,3.5,376
4074,1971,3.2,1460
4075,2003,3.3,141
4076,1997,2.2,96
4077,1998,2.6,320
4078,2003,3.9,6124
4079,2003,3.7,315
4080,2003,3.4,31372
4081,1980,3.0,110
4082,1999,2.8,630
4083,1996,3.1,156
4084,1991,2.7,193
4085,1958,3.4,1363
4086,1994,3.4,2806
4087,2002,2.8,196
4088,1999,3.7,494
4089,1987,3.4,21257
4090,1995,3.5,149
4091,1993,2.9,180
4092,1997,3.4,2226
4093,2004,1.9,202
4094,1985,3.5,700
4095,2004,2.6,611
4096,2002,2.4,181
4097,1983,3.1,1715
4098,2002,4.3,6581
4099,2000,3.3,903
4100,2000,3.5,13874
4101,1983,2.4,84
4102,1983,3.4,459
4103,1983,2.8,1187
4104,1945,3.5,365
4105,2002,3.9,613
4106,2001,2.8,1830
4107,1938,2.9,152
4108,1960,3.1,243
4109,2000,3.3,24852
4110,1945,3.2,457
4111,1998,2.8,343
4112,1996,2.9,177
4113,1999,2.8,136
4114,1983,3.2,134
4115,1999,4.3,4218
4116,1946,3.6,575
4117,1988,3.0,1558
4118,2002,3.9,566
4119,1990,3.3,1381
4120,1991,3.4,188
4121,2001,3.1,186
4122,1986,3.3,1150
4123,1998,3.5,121769
4124,1975,3.6,1111
4125,1999,3.1,165
4126,1996,1.8,104
4127,1994,2.4,10487
4128,1930,3.0,183
4129,1970,4.2,694
4130,2005,3.0,233
4131,1990,2.8,1853
4132,2003,2.6,94
4133,1955,3.4,708
4134,2000,3.8,553
4135,1956,3.9,33354
4136,1993,2.6,4242
4137,1967,3.0,383
4138,2002,3.5,3982
4139,2002,3.2,273
4140,1977,3.0,165
4141,2000,3.5,45636
4142,2003,3.8,156
4143,1999,2.9,201
4144,2001,3.5,7132
4145,1999,4.2,6584
4146,1951,3.4,1055
4147,1988,3.1,7299
4148,1955,3.5,312
4149,2004,3.4,25581
4150,2000,3.2,1666
4151,1974,2.8,263
4152,1999,3.1,476
4153,1981,2.1,600
4154,1995,2.8,212
4155,2000,3.7,5266
4156,1973,3.7,359
4157,1991,3.4,14401
4158,1986,2.5,117
4159,2002,3.4,33723
4160,1996,3.4,435
4161,1997,3.5,1799
4162,2000,3.7,567
4163,1963,3.8,1012
4164,1986,3.4,1008
4165,2003,2.4,1396
4166,1987,3.3,3012
4167,2002,3.5,1738
4168,1995,4.0,3088
4169,2003,2.7,166
4170,2001,2.4,179
4171,1996,3.0,16890
4172,2000,2.6,113
4173,1998,2.5,1984
4174,1994,3.1,533
4175,1998,3.4,244
4176,2001,2.9,116
4177,1988,3.8,2380
4178,2003,3.7,592
4179,1951,4.1,2250
4180,2002,3.1,133
4181,2003,3.7,868
4182,2001,2.9,363
4183,1997,2.7,119
4184,1985,2.9,1240
4185,1989,4.0,4372
4186,2003,2.1,204
4187,1984,2.9,1210
4188,1917,3.3,138
4189,2004,3.6,1371
4190,2003,3.1,132
4191,2004,3.8,134
4192,1993,2.9,194
4193,2000,3.2,294
4194,2004,4.0,319
4195,1986,3.5,153
4196,2002,3.4,690
4197,2003,2.6,3893
4198,1997,3.3,1740
4199,1995,2.4,109
4200,1999,2.9,94
4201,1996,3.2,2588
4202,2004,1.5,119
4203,2004,3.4,165
4204,1999,3.8,753
4205,2004,3.2,124
4206,2001,3.2,106
4207,1980,4.3,7224
4208,1993,3.4,508
4209,2003,3.5,843
4210,2002,3.0,11955
4211,2003,3.3,244
4212,1999,3.0,426
4213,2001,2.5,87
4214,1996,3.4,7643
4215,1932,3.0,246
4216,2001,3.2,46150
4217,1965,3.8,252
4218,1988,2.6,258
4219,1995,3.9,10942
4220,1998,3.3,182
4221,1982,2.9,509
4222,1997,3.1,388
4223,1983,2.1,90
4224,1996,3.6,1349
4225,1999,3.4,8541
4226,2000,2.7,96
4227,1997,3.7,52388
4228,1981,3.4,228
4229,2001,3.8,1282
4230,1996,2.6,193
4231,1985,2.4,82
4232,2002,3.4,437
4233,1982,3.9,230
4234,1989,3.0,302
4235,1934,2.8,143
4236,1998,1.9,85
4237,2002,2.7,3922
4238,2000,4.6,1883
4239,1973,2.9,223
4240,1966,3.3,955
4241,1994,2.8,188
4242,1954,3.3,297
4243,1995,3.0,148
4244,1977,3.4,1226
4245,2002,3.5,99
4246,2000,3.1,175
4247,1998,3.2,5909
4248,1981,3.4,11346
4249,1925,3.8,3496
4250,2004,3.0,402
4251,1990,2.9,209
4252,1997,3.5,193
4253,1949,3.9,2976
4254,1993,3.5,1307
4255,2002,2.2,3861
4256,1984,3.7,40201
4257,1996,3.4,960
4258,1962,3.8,678
4259,1992,3.9,899
4260,2001,3.3,20845
4261,1983,3.6,314
4262,1999,3.6,48877
4263,2000,2.8,1388
4264,1951,3.4,288
4265,2002,3.2,278
4266,2004,3.7,85050
4267,2001,3.3,2565
4268,1993,3.5,1294
4269,2002,2.9,15769
4270,1990,3.1,1388
4271,1996,3.5,12950
4272,1997,3.4,109
4273,2002,3.7,456
4274,1997,3.0,251
4275,1992,3.1,219
4276,1995,3.5,321
4277,2004,3.2,144
4278,1995,2.9,1714
4279,1978,3.1,1009
4280,1970,4.1,417
4281,1986,3.1,3493
4282,2001,2.9,2315
4283,1979,2.8,1505
4284,1954,4.1,16470
4285,1996,3.5,1249
4286,1934,3.6,446
4287,2002,2.6,6677
4288,1989,3.1,941
4289,1985,3.5,5655
4290,2003,3.4,2378
4291,1981,3.4,1526
4292,1972,3.1,349
4293,1983,2.8,708
4294,2004,4.3,44
4295,2000,3.0,114
4296,1971,3.3,542
4297,1998,2.6,114
4298,1985,2.6,4191
4299,1982,3.6,1897
4300,1989,3.0,81
4301,1925,3.4,219
4302,1982,3.8,55605
4303,2004,2.1,122
4304,1981,3.4,115
4305,1944,3.6,301
4306,1999,4.3,151292
4307,2004,2.7,135
4308,1999,3.8,1018
4309,1963,3.2,144
4310,1998,3.0,4679
4311,2001,3.0,108
4312,2003,2.7,494
4313,2001,3.5,141
4314,2002,2.6,106
4315,2004,3.5,56213
4316,1980,3.4,169
4317,1963,3.2,703
4318,1999,2.8,115
4319,2000,2.9,195
4320,1966,3.6,1679
4321,1990,3.0,455
4322,1998,3.1,127
4323,1997,3.3,585
4324,2003,2.5,165
4325,1979,3.2,89
4326,1995,2.8,117
4327,1992,3.4,1729
4328,1972,3.3,1651
4329,1977,2.7,174
4330,1995,3.6,63042
4331,2003,3.3,8868
4332,1996,2.1,85
4333,1979,3.9,868
4334,1998,3.0,433
4335,2004,3.8,1000
4336,2001,3.0,1545
4337,1998,3.1,372
4338,2003,2.9,39
4339,2000,3.2,10226
4340,2000,3.8,1265
4341,2002,3.4,28076
4342,1992,3.8,1776
4343,1952,3.4,548
4344,2005,3.9,294
4345,2002,3.8,90387
4346,1982,3.1,2365
4347,1998,3.2,238
4348,2002,4.2,525
4349,1945,3.5,118
4350,1972,3.9,869
4351,1988,3.4,330
4352,2000,3.0,3865
4353,2002,4.3,12148
4354,1997,3.0,2948
4355,2003,2.7,12882
4356,2002,3.7,106020
4357,1995,3.1,494
4358,2003,2.9,242
4359,2000,3.0,390
4360,1996,4.0,5301
4361,1999,3.8,332
4362,1989,2.0,36
4363,2001,2.8,232
4364,1976,3.7,29537
4365,1973,2.5,141
4366,2000,3.6,3238
4367,1997,3.6,1409
4368,1994,2.3,110
4369,1981,3.3,35095
4370,2000,2.9,1587
4371,1989,2.9,283
4372,2001,3.6,2158
4373,2005,4.1,87
4374,1998,3.1,7070
4375,2003,2.5,205
4376,2002,3.4,189
4377,2001,2.4,2494
4378,1993,3.5,711
4379,1999,3.0,270
4380,1993,3.3,8797
4381,1996,4.0,1340
4382,1979,3.5,158
4383,2004,4.3,4051
4384,2004,3.6,30580
4385,1994,4.0,1526
4386,1985,3.5,7401
4387,2005,3.6,2028
4388,1970,3.0,189
4389,2003,3.4,30958
4390,2000,3.1,1826
4391,1999,3.3,205
4392,1993,3.9,27127
4393,1994,3.4,38659
4394,2001,2.0,1297
4395,2004,3.3,264
4396,1998,3.1,4196
4397,2002,3.4,246
4398,2003,3.2,1437
4399,1998,2.5,175
4400,2005,3.2,202
4401,1974,3.6,288
4402,1984,3.3,41028
4403,2000,2.9,192
4404,1999,2.6,88
4405,1991,4.0,2774
4406,1970,3.3,464
4407,1993,3.8,1799
4408,2002,2.1,159
4409,2002,4.1,639
4410,2004,3.4,103
4411,2003,3.5,2214
4412,1970,3.1,509
4413,1984,3.0,2564
4414,2002,2.4,1610
4415,2000,4.0,1645
4416,1933,3.0,273
4417,2005,3.7,83
4418,2000,3.4,15119
4419,1950,3.7,1724
4420,2004,3.2,15835
4421,1999,2.5,223
4422,1997,3.0,171
4423,2000,2.4,81
4424,1992,3.5,239
4425,1985,2.3,134
4426,2000,3.5,582
4427,2001,4.5,6633
4428,1979,3.4,355
4429,2002,3.1,5210
4430,1996,3.1,171
4431,2005,2.9,282
4432,2003,3.8,156183
4433,2004,3.6,95
4434,1981,3.0,447
4435,1988,2.4,90
4436,2003,3.1,137
4437,1998,1.8,94
4438,1990,3.0,2033
4439,1999,3.4,797
4440,1994,2.8,428
4441,1996,3.4,3719
4442,2000,2.9,2659
4443,1989,3.0,136
4444,2000,3.4,422
4445,2004,3.4,212
4446,2000,3.1,196
4447,2003,3.6,370
4448,1952,3.5,452
4449,2002,3.9,1019
4450,1987,3.7,2509
4451,2004,3.0,301
4452,2001,2.8,994
4453,1997,3.6,238
4454,1944,4.0,6819
4455,1999,3.5,204
4456,1997,3.3,1011
4457,1995,3.6,64
4458,2002,3.0,188
4459,1977,4.0,405
4460,2000,3.3,2053
4461,2002,3.6,791
4462,1997,2.4,84
4463,2000,3.6,1992
4464,2000,2.2,73
4465,1998,3.7,5619
4466,1987,1.8,95
4467,2000,3.6,389
4468,1998,4.0,1006
4469,2002,1.9,135
4470,2004,3.7,416
4471,1997,2.9,105
4472,2003,3.7,101118
4473,2002,3.0,541
4474,1998,3.2,4241
4475,1993,3.1,101
4476,1997,3.9,566
4477,1934,3.7,276
4478,1993,3.7,2551
4479,1980,3.7,23884
4480,2002,3.4,172
4481,1996,3.3,224
4482,2000,2.8,1639
4483,2000,3.3,1032
4484,2000,4.0,1276
4485,1953,3.5,3180
4486,1982,2.8,193
4487,2002,2.2,118
4488,2000,3.6,33175
4489,1961,3.5,1404
4490,2004,3.2,10258
4491,1997,3.2,453
4492,2004,2.6,9353
4493,2003,3.1,6381
4494,1997,2.6,130
4495,2002,3.5,614
4496,1993,3.8,9519
4497,1990,2.7,714
4498,2000,2.5,269
4499,2002,2.6,428
4500,1945,3.3,258
4501,2002,3.0,595
4502,2001,2.1,104
4503,1996,3.2,1779
4504,2001,3.2,176
4505,2003,2.5,238
4506,1961,3.9,33731
4507,1991,3.5,3445
4508,1966,3.7,5939
4509,1977,4.0,2516
4510,1959,2.9,119
4511,2000,2.9,237
4512,1989,2.7,2656
4513,2004,3.5,199
4514,1979,2.4,131
4515,1986,3.3,2179
4516,1999,3.6,1233
4517,1997,3.1,8440
4518,1964,3.4,235
4519,2003,3.0,2806
4520,1995,3.7,26500
4521,2002,4.0,962
4522,1998,3.8,5736
4523,2003,3.3,204
4524,1988,3.6,5792
4525,2004,3.8,537
4526,2002,3.0,116
4527,1996,3.3,350
4528,1996,3.8,2246
4529,1999,3.7,245
4530,1985,2.5,382
4531,2004,4.1,2311
4532,1994,2.5,88
4533,2001,3.3,6857
4534,1996,3.5,418
4535,1994,3.6,3735
4536,1947,3.7,1323
4537,1997,2.6,150
4538,1987,2.3,124
4539,2001,2.7,122
4540,1990,2.7,125
4541,2001,2.8,392
4542,1977,2.9,116
4543,1994,3.0,1384
4544,1976,1.6,217
4545,1990,3.9,70799
4546,2004,3.4,23270
4547,1947,3.7,1280
4548,1963,3.2,310
4549,2003,3.6,249
4550,2000,3.4,418
4551,2000,3.4,722
4552,1976,3.6,1103
4553,1942,3.4,2270
4554,1986,3.7,325
4555,1986,3.6,197
4556,2001,2.6,164
4557,1985,3.5,6294
4558,2001,3.2,1397
4559,1974,3.9,2126
4560,1981,3.0,124
4561,1999,4.0,1031
4562,1968,3.6,544
4563,2003,3.1,2657
4564,1999,2.8,882
4565,1973,3.7,5979
4566,2004,3.6,305
4567,1997,1.9,92
4568,1992,3.2,5174
4569,1992,3.0,1882
4570,1997,3.4,20703
4571,1999,2.5,104
4572,2000,3.3,214
4573,2002,2.8,92
4574,1977,3.0,62
4575,1969,4.0,2556
4576,2000,3.7,122
4577,1989,3.9,106291
4578,2004,2.9,941
4579,1977,3.0,253
4580,1973,3.2,478
4581,2000,3.8,3363
4582,1990,2.4,229
4583,1992,3.3,2457
4584,1999,1.8,68
4585,1955,3.9,714
4586,1999,3.4,14888
4587,1999,2.9,2849
4588,1991,3.3,824
4589,2000,2.7,129
4590,2004,3.3,78719
4591,1945,3.6,5246
4592,2004,4.0,1575
4593,1998,3.0,119
4594,1973,3.6,4190
4595,2003,3.8,1501
4596,1988,3.3,3752
4597,1965,3.1,136
4598,2002,3.6,1078
4599,2002,3.7,1409
4600,1987,3.1,557
4601,1994,2.8,1842
4602,1995,3.6,838
4603,1948,2.7,130
4604,1999,2.7,119
4605,2004,3.6,59
4606,2003,4.2,160
4607,1948,3.3,1060
4608,2002,3.6,263
4609,1967,3.7,3922
4610,2004,3.4,449
4611,1999,2.5,142
4612,1994,3.1,12453
4613,1998,3.5,472
4614,1964,3.4,33
4615,1971,2.6,146
4616,2004,3.6,198
4617,2003,3.3,390
4618,2005,2.8,160
4619,1974,3.2,95
4620,1969,3.1,117
4621,1996,2.4,1204
4622,2000,2.6,338
4623,2000,3.5,354
4624,1992,3.0,377
4625,1999,1.7,493
4626,1995,4.0,815
4627,1932,3.7,6432
4628,1996,4.0,8519
4629,1992,3.7,4316
4630,1996,3.0,3087
4631,1978,3.7,1281
4632,1944,3.4,433
4633,1982,4.1,41850
4634,2005,3.2,6409
4635,1965,3.1,433
4636,1980,3.4,4963
4637,1972,2.6,97
4638,2002,2.2,267
4639,1993,2.7,1184
4640,1988,4.1,122158
4641,2002,3.4,3775
4642,2000,3.4,130
4643,2002,3.3,377
4644,2003,3.0,2946
4645,2001,2.5,296
4646,1988,3.2,617
4647,1995,2.8,466
4648,1960,3.8,794
4649,1980,3.2,973
4650,2004,3.9,285
4651,1939,3.9,2218
4652,1995,3.4,14966
4653,1984,3.8,2259
4654,1991,2.0,153
4655,1992,3.4,397
4656,2000,3.8,130782
4657,2004,3.4,310
4658,2003,4.0,5741
4659,2002,3.3,413
4660,2001,3.4,25232
4661,1999,3.3,51392
4662,1956,3.4,510
4663,1993,3.9,5017
4664,1998,2.3,113
4665,1998,3.1,87
4666,1975,3.6,578
4667,1996,2.2,429
4668,1993,2.8,154
4669,1987,3.5,6989
4670,1999,2.9,58624
4671,2003,3.5,4954
4672,2001,2.1,162
4673,1986,2.7,339
4674,2000,3.0,352
4675,1993,3.6,1163
4676,1967,2.6,455
4677,2000,3.0,6015
4678,1990,3.3,2551
4679,1965,4.0,2862
4680,1942,3.3,4095
4681,1998,2.8,834
4682,2002,4.0,3427
4683,2000,3.3,48149
4684,1998,3.6,1051
4685,1999,3.1,9837
4686,1990,3.1,14661
4687,1990,2.2,93
4688,1977,3.3,1132
4689,1949,3.8,763
4690,1969,3.3,1155
4691,2002,4.4,4299
4692,1988,3.7,967
4693,1994,2.9,1384
4694,1960,2.2,118
4695,2002,3.4,2486
4696,2003,2.4,171
4697,1995,4.0,42872
4698,1997,3.3,57766
4699,2001,3.7,2124
4700,1951,2.9,289
4701,1983,3.1,1158
4702,1994,2.9,99
4703,1998,2.8,161
4704,1996,3.6,2743
4705,1987,3.5,58536
4706,1990,3.6,99
4707,2004,3.3,110
4708,2002,2.8,166
4709,2002,3.2,3769
4710,2004,3.5,430
4711,2001,2.8,22
4712,1957,2.8,2370
4713,1966,3.0,503
4714,1992,3.2,218
4715,1965,3.4,1090
4716,1970,3.1,161
4717,1988,3.4,586
4718,2001,3.1,219
4719,1971,3.8,2329
4720,2003,3.7,1215
4721,1998,4.0,9451
4722,1948,3.2,160
4723,1980,3.8,187
4724,1996,3.0,67
4725,1997,3.6,951
4726,1999,2.5,239
4727,1979,4.1,41128
4728,2000,2.8,148
4729,1967,2.9,142
4730,2003,3.4,1114
4731,2004,2.8,270
4732,2001,2.0,90
4733,2003,3.8,1250
4734,2001,3.0,118
4735,1983,2.5,119
